NO;BRANCH;SITE ID;SITE NAME;CHANNEL TYPE;GRADE STORE;GOLD;SILVER;BROWN;TOTAL;GOLD;SILVER;TOTAL
179;SEMARANG;C000060700;ATLANTA MATARAM;TRADITIONAL;A;5;5;; 10 ; 1.672.171.852 ; 1.957.279.897 ; 3.629.451.749 
180;YOGYAKARTA;C000060702;DEPO PELITA PURWOKERTO;TRADITIONAL;A;3;3;; 6 ; 1.017.244.802 ; 1.437.581.474 ; 2.454.826.276 
181;YOGYAKARTA;C000060705;IRAMA MAS PURWOKERTO;TRADITIONAL;B1;;;1; 1 ; 131.764.193 ; 166.640.569 ; 298.404.762 
182;JAKARTA;C000060711;ABADI JAYA FATMAWATI;TRADITIONAL;B1;1;1;; 2 ; 248.652.361 ; 157.145.524 ; 405.797.885 
183;JAKARTA;C000060712;BINTANG JAYA - CIPUTAT;TRADITIONAL;B1;;;1; 1 ; 42.000.139 ; 112.289.656 ; 154.289.795 
184;JAKARTA;C000060718;CENTRAL BOGOR;TRADITIONAL;B1;2;;; 2 ; 4.451.386.475 ; -   ; 4.451.386.475 
185;JAKARTA;C000060724;PIXEL MEGASTORE KARAWANG;TRADITIONAL;A;2;1;; 3 ; 476.471.514 ; 203.253.119 ; 679.724.633 
186;JAKARTA;C000060726;KAWIJAYA;TRADITIONAL;A;;;1; 1 ; 217.419.245 ; 133.774.410 ; 351.193.655 
187;JAKARTA;C000060731;PULAU INDAH SERANG;TRADITIONAL;A;;;1; 1 ; 136.000.714 ; 121.384.913 ; 257.385.627 
188;JAKARTA;C000060736;SUARA AGUNG GLODOK;TRADITIONAL;A;1;1;; 2 ; 835.042.397 ; 484.855.126 ; 1.319.897.523 
189;JAKARTA;C000060745;SERAYU ELEKTRONIK;TRADITIONAL;A;2;1;; 3 ; 1.096.686.986 ; 356.078.286 ; 1.452.765.272 
190;JAKARTA;C000060749;SEVEN ELECTRONICS BSD;TRADITIONAL;A;1;1;; 2 ; 243.744.266 ; 214.425.208 ; 458.169.474 
191;JAKARTA;C000060750;SEVEN ELECTRONICS SERPONG;TRADITIONAL;A;1;1;; 2 ; 246.277.753 ; 146.129.037 ; 392.406.790 
192;JAKARTA;C000060753;SUMBER KARYA 1;TRADITIONAL;A;2;;; 2 ; 2.164.691.621 ; -   ; 2.164.691.621 
193;JAKARTA;C000060754;SUMBER KARYA 2;TRADITIONAL;A;4;;; 4 ; 1.946.131.994 ; -   ; 1.946.131.994 
194;JAKARTA;C000060755;SUMBER KARYA 3;TRADITIONAL;A;1;1;; 2 ; 1.036.223.126 ; 131.190.760 ; 1.167.413.886 
195;BALI;C000060758;SINAR ABADI ELECTRONICS;TRADITIONAL;A;;;1; 1 ; 307.225.769 ; 112.665.585 ; 419.891.354 
196;JAKARTA;C000060766;HARTONO PONDOK INDAH;TRADITIONAL;B1;6;7;; 13 ; 3.653.129.913 ; 2.569.503.645 ; 6.222.633.558 
197;BANJARMASIN;C000077964;CV. CENTRAL NIAGA;TRADITIONAL;A;1;1;; 2 ; 175.864.492 ; 354.285.182 ; 530.149.674 
198;BANJARMASIN;C000077965;GUNUNG MADU;TRADITIONAL;A;;;1; 1 ; 229.021.757 ; 217.140.682 ; 446.162.439 
199;PALEMBANG;C000078005;CV. NEW SUWANDI ELECTRONIC;TRADITIONAL;A;1;1;; 2 ; 450.802.116 ; 349.462.199 ; 800.264.315 
200;JAKARTA;C000078250;PD. FUJI;TRADITIONAL;A;1;1;; 2 ; 190.910.049 ; 155.155.049 ; 346.065.098 
201;JAKARTA;C000078251;KELLY & DENZEL ELECTRONICS;TRADITIONAL;A;;;1; 1 ; 33.863.898 ; 388.744.482 ; 422.608.380 
202;JAKARTA;C000078254;HIBURAN BARU-SINGKAWANG;TRADITIONAL;A;1;1;; 2 ; 66.682.112 ; 218.044.816 ; 284.726.928 
203;JAKARTA;C000078259;PULAU MULIA;TRADITIONAL;A;1;1;; 2 ; 551.546.690 ; 356.903.286 ; 908.449.976 
204;SURABAYA;C000078735;TOKO RAHAYU;TRADITIONAL;B1;;;1; 1 ; 338.978.477 ; 258.983.725 ; 597.962.202 
205;YOGYAKARTA;C000078759;TOKO ELCINTA;TRADITIONAL;A;1;1;; 2 ; 144.191.519 ; 286.710.450 ; 430.901.969 
206;JAKARTA KAM;C000078950;GIANT JABABEKA;MODERN;B1;;;1; 1 ; 116.645.760 ; 75.011.770 ; 191.657.530 
207;SAMARINDA;C000079112;TOKO ANITA;TRADITIONAL;A;;;1; 1 ; 199.772.514 ; 322.459.553 ; 522.232.067 
208;SAMARINDA;C000079115;NUANSA GROGOT;TRADITIONAL;B1;;;1; 1 ; 90.464.009 ; 175.665.293 ; 266.129.302 
209;JAKARTA KAM;C000079173;BEST DENKI SAINT MORIS PURI;MODERN;B1;1;1;; 2 ; 146.065.966 ; 117.636.845 ; 263.702.811 
210;BANDUNG;C000079209;GRIYATRON GRAND CINUNUK;TRADITIONAL;C1;;;1; 1 ; 468.457.065 ; 88.289.594 ; 556.746.659 
211;SEMARANG;C000079217;ATLANTA NGALIYAN;TRADITIONAL;B1;2;2;; 4 ; 738.639.742 ; 1.085.936.652 ; 1.824.576.394 
212;BALI;C000079234;HYPERMART LOMBOK EPICENTRUM;MODERN;B3;;;1; 1 ; 16.727.400 ; -   ; 16.727.400 
213;JAKARTA KAM;C000079765;CARREFOUR KARAWANG;MODERN;B1;;;1; 1 ; 41.636.491 ; 14.534.575 ; 56.171.066 
214;JAKARTA;C000080691;ABADI JAYA CILEDUG;TRADITIONAL;A;;;1; 1 ; 36.863.774 ; 87.072.255 ; 123.936.029 
215;JAKARTA;C000080692;LANGGENG JAYA;TRADITIONAL;A;;;1; 1 ; 20.954.619 ; 72.409.119 ; 93.363.738 
216;JAKARTA;C000080723;ABADI JAYA KRAMAT JATI;TRADITIONAL;A;;;1; 1 ; 38.863.757 ; 88.202.639 ; 127.066.396 
217;JAKARTA KAM;C000080725;CARREFOUR TANGGERANG CITY;MODERN;B1;;;1; 1 ; 83.802.502 ; 18.869.866 ; 102.672.368 
218;JAKARTA KAM;C000080726;GIANT JONGGOL METLAND;MODERN;B1;;;1; 1 ; 82.482.099 ; 41.014.729 ; 123.496.828 
219;SURABAYA;C000081438;JAYA ELEKTRONIK BANYUWANGI;TRADITIONAL;A;;;1; 1 ; 27.136.468 ; 11.359.730 ; 38.496.198 
220;JAKARTA KAM;C000122926;HYPERMART SERANG;MODERN;B1;;;1; 1 ; -   ; -   ; -   
221;SURABAYA;C000149615;ANUGRAH JAYA MADIUN;TRADITIONAL;B1;;;1; 1 ; 175.445.890 ; 184.810.312 ; 360.256.202 
222;SURABAYA;C000149616;SAMUDRA TULUNGAGUNG;TRADITIONAL;A;1;1;; 2 ; 456.865.334 ; 244.803.760 ; 701.669.094 
223;JAKARTA;C000150303;GLAEN ELEKTRONIK;TRADITIONAL;A;1;1;; 2 ; 352.644.040 ; 265.624.450 ; 618.268.490 
224;SURABAYA;C000151686;HASIL BARU;TRADITIONAL;D;;;1; 1 ; 43.477.434 ; 90.590.397 ; 134.067.831 
225;JAKARTA KAM;C000156486;LOTTE MART BINTARO;MODERN;B1;;;1; 1 ; 89.045.849 ; 5.455.460 ; 94.501.309 
226;SAMARINDA;C000161436;SUMBER JAYA TARAKAN;TRADITIONAL;A;1;1;; 2 ; 183.064.511 ; 340.839.795 ; 523.904.306 
227;SAMARINDA;C000161437;SINFO TARAKAN;TRADITIONAL;A;1;1;; 2 ; 263.405.682 ; 285.105.455 ; 548.511.137 
228;JAKARTA KAM;C000161444;BEST DENKI SUMMARECON MALL SERPONG;MODERN;A;3;2;; 5 ; 560.128.478 ; 237.558.347 ; 797.686.825 
229;SURABAYA;C000162866;METRO ELEKTRONIK-TULUNG AGUNG;TRADITIONAL;B2;;;1; 1 ; 137.382.279 ; 81.822.435 ; 219.204.714 
230;BANDUNG;C000165107;ELEKTRONIK SQUARE SUKABUMI;TRADITIONAL;B1;;;1; 1 ; 190.682.930 ; 110.190.179 ; 300.873.109 
231;SEMARANG;C000165109;GLOBAL FATMAWATI;TRADITIONAL;A;1;1;; 2 ; 242.773.536 ; 349.358.016 ; 592.131.552 
232;MEDAN;C000165110;CENTRAL NAGOYA HILL;TRADITIONAL;A;2;1;; 3 ; 518.283.493 ; 508.020.680 ; 1.026.304.173 
233;JAKARTA KAM;C000165113;LOTTE MART KUNINGAN CITY;MODERN;B1;;;1; 1 ; 30.409.257 ; 2.545.462 ; 32.954.719 
234;JAKARTA KAM;C000166917;HYPERMART KEMANG VILLAGE;MODERN;B3;;;1; 1 ; 163.000.217 ; 7.866.099 ; 170.866.316 
235;PALEMBANG;C000166967;IRAMA BARU - PALEMBANG;TRADITIONAL;A;;;1; 1 ; 202.773.584 ; 143.634.638 ; 346.408.222 
236;BANDUNG;C000169721;BEST DENKI BSM;MODERN;A;1;1;; 2 ; 354.329.292 ; 68.851.575 ; 423.180.867 
237;JAKARTA;C000169722;PUTRA ELEKTRONIK;TRADITIONAL;A;1;1;; 2 ; 760.838.441 ; 315.817.702 ; 1.076.656.143 
238;SURABAYA;C000169724;HARTONO MASPION SQUARE;TRADITIONAL;B1;2;2;; 4 ; 724.329.943 ; 401.514.817 ; 1.125.844.760 
239;SAMARINDA;C000171757;PERDANA ELEKTRONIK;TRADITIONAL;A;1;1;; 2 ; 197.909.031 ; 391.093.643 ; 589.002.674 
240;MEDAN;C000172871;ARTECH;TRADITIONAL;A;2;1;; 3 ; 737.902.649 ; 285.076.458 ; 1.022.979.107 
241;SURABAYA;C000172872;MERDEKA ELEKTRONIK SUMENEP;TRADITIONAL;A;;;1; 1 ; 160.209.829 ; 106.572.498 ; 266.782.327 
242;JAKARTA KAM;C000172873;LOTTE MART FATMAWATI;MODERN;B1;;;1; 1 ; 75.000.304 ; 13.549.198 ; 88.549.502 
243;JAKARTA KAM;C000172885;GIANT HARAPAN INDAH BEKASI;MODERN;B1;;;1; 1 ; 106.763.768 ; 51.354.266 ; 158.118.034 
244;BALI;C000349075;UFO TEUKU UMAR;TRADITIONAL;B1;4;2;; 6 ; 1.601.086.720 ; 691.692.171 ; 2.292.778.891 
245;JAKARTA;C000438798;ANEKA PUTRA KELAPA GADING;TRADITIONAL;A;;;1; 1 ; 178.264.151 ; 154.434.333 ; 332.698.484 
246;SURABAYA;C000608614;UFO JOMBANG;TRADITIONAL;B1;1;1;; 2 ; 324.673.719 ; 191.794.065 ; 516.467.784 
247;SURABAYA;C000768611;OGAN;TRADITIONAL;A;1;1;; 2 ; 276.664.637 ; 213.669.051 ; 490.333.688 
248;MANADO;C000768615;SWISS ELEKTRONIK;TRADITIONAL;A;1;1;; 2 ; 147.454.980 ; 231.812.677 ; 379.267.657 
249;PALEMBANG;C000978752;MULTI DATA PALEMBANG;TRADITIONAL;A;1;1;; 2 ; 400.738.433 ; 238.453.856 ; 639.192.289 
250;SAMARINDA;C000978754;SCORPIO ELECTRONIC;TRADITIONAL;C1;;;1; 1 ; 111.818.828 ; 114.410.085 ; 226.228.913 
251;BANDUNG;C001058611;D`BEST ELECTRONIC;TRADITIONAL;A;;;1; 1 ; 70.954.641 ; 86.215.412 ; 157.170.053 
252;PALEMBANG;C001158614;SINAR BARU ELEKTRONIK;TRADITIONAL;A;;;1; 1 ; 118.146.007 ; 157.404.111 ; 275.550.118 
253;PALEMBANG;C001158624;BEST ELECTRONIC;TRADITIONAL;A;;;1; 1 ; 217.464.154 ; 283.716.529 ; 501.180.683 
254;JAKARTA;C001268607;MEGA ELEKTRONIK PONTIANAK MEGA MALL;TRADITIONAL;B1;;;1; 1 ; 44.636.579 ; 16.393.546 ; 61.030.125 
255;JAKARTA;C001268610;ERISEN ELEKTRONIK;TRADITIONAL;A;1;1;; 2 ; 174.790.768 ; 120.354.497 ; 295.145.265 
256;JAKARTA KAM;C001268614;ELECTRONIC CITY KRAMAT JATI;MODERN;B1;1;1;; 2 ; 203.982.381 ; 101.375.916 ; 305.358.297 
257;JAKARTA;C001328608;DEVINSON - LAMPUNG;TRADITIONAL;A;;;1; 1 ; 153.364.381 ; 141.480.844 ; 294.845.225 
258;SURABAYA;C001388716;OHANA ELEKTRONIK GRESIK;TRADITIONAL;A;;;1; 1 ; 204.864.930 ; 89.019.600 ; 293.884.530 
259;JAKARTA KAM;C001518656;GIANT THOLE ISKANDAR MUDA;MODERN;B1;;;1; 1 ; 85.063.876 ; 24.056.812 ; 109.120.688 
260;SURABAYA;C001618610;MERDEKA BANGKALAN;TRADITIONAL;B1;;;1; 1 ; 65.927.479 ; 80.340.540 ; 146.268.019 
261;SEMARANG;C001688608;ABC JUWANA;TRADITIONAL;A;1;1;; 2 ; 161.182.634 ; 276.335.686 ; 437.518.320 
262;SEMARANG;C001688610;LIE NELLY/SINAR MAS;TRADITIONAL;A;;;1; 1 ; 114.046.197 ; 246.193.306 ; 360.239.503 
263;SURABAYA;C002308609;BEST DENKI PAKUWON;MODERN;B1;;;1; 1 ; 194.073.564 ; 8.000.922 ; 202.074.486 
264;JAKARTA KAM;C002568644;ELECTRONIC CITY EKA LOKASARI MALL;MODERN;B1;;;1; 1 ; 115.700.230 ; 54.130.424 ; 169.830.654 
265;BANJARMASIN;C002648634;NUANSA TANJUNG;TRADITIONAL;B1;;;1; 1 ; 65.636.642 ; 253.921.239 ; 319.557.881 
266;JAKARTA KAM;C002648635;GIANT SERANG;MODERN;B2;;;1; 1 ; 60.500.083 ; 28.652.207 ; 89.152.290 
267;PALEMBANG;C002808798;RATU IRAMA - JAMBI;TRADITIONAL;A;;;1; 1 ; 217.637.715 ; 86.071.984 ; 303.709.699 
268;PEKANBARU;C002831507;CENTRAL PANAM ELEKTRONIK;TRADITIONAL;B1;1;1;; 2 ; 305.818.681 ; 331.729.573 ; 637.548.254 
269;BANDUNG;C002831519;GRIYATRON SUBANG;TRADITIONAL;B1;;;1; 1 ; 189.091.878 ; 65.231.540 ; 254.323.418 
270;JAKARTA KAM;C002841712;ELECTRONIC CITY DAAN MOGOT;MODERN;B1;;;1; 1 ; 28.090.914 ; 6.916.481 ; 35.007.395 
271;JAKARTA KAM;C002841713;ELECTRONIC CITY CIBUBUR PLAZA;MODERN;B1;;;1; 1 ; 123.063.919 ; 58.452.012 ; 181.515.931 
272;SURABAYA;C002844066;PERDANA KERTAJAYA;TRADITIONAL;B1;2;1;; 3 ; 315.855.383 ; 182.944.095 ; 498.799.478 
273;JAKARTA KAM;C002845354;HYPERMART BALAI KOTA;MODERN;B2;;;1; 1 ; 166.091.322 ; 37.696.922 ; 203.788.244 
274;JAKARTA KAM;C002861724;CARREFOUR KOTA KASABLANKA;MODERN;B1;2;1;; 3 ; 158.282.179 ; 73.091.440 ; 231.373.619 
275;YOGYAKARTA;C002876001;A.TAKRIB MAGELANG;TRADITIONAL;A;3;3;; 6 ; 1.012.392.706 ; 1.296.205.243 ; 2.308.597.949 
276;JAKARTA;C002880977;SINAR AGUNG ELECTRONIC CIKARANG;TRADITIONAL;A;;;1; 1 ; 167.578.455 ; 191.788.122 ; 359.366.577 
277;JAKARTA;C002881034;HOKKY JAYA;TRADITIONAL;A;;;1; 1 ; 133.327.645 ; 95.491.836 ; 228.819.481 
278;JAKARTA;C002881069;WIRA UTAMA ELECTRONIC GLODOK 1;TRADITIONAL;A;1;1;; 2 ; 604.047.819 ; 339.102.445 ; 943.150.264 
279;PEKANBARU;C002881164;BATAM PLAZA TAMBUSAI1;TRADITIONAL;A;2;1;; 3 ; 366.064.986 ; 549.562.202 ; 915.627.188 
280;PALEMBANG;C002881212;PRATAMA JAMBI;TRADITIONAL;B1;;;1; 1 ; 111.115.128 ; 149.953.153 ; 261.068.281 
281;JAKARTA;C002881217;PLANET ELECTRONIC-MEGA BEKASI;TRADITIONAL;A;;;1; 1 ; 300.015.507 ; 501.360.278 ; 801.375.785 
282;MEDAN;C002881225;VIGO;TRADITIONAL;C2;;;1; 1 ; 70.463.915 ; 142.072.543 ; 212.536.458 
283;MEDAN;C002881294;AUDIO TECHNICS ELECTRONIC;TRADITIONAL;A;;;1; 1 ; 134.145.877 ; 392.867.948 ; 527.013.825 
284;PALEMBANG;C002881317;IRAMA MAS-BENGKULU;TRADITIONAL;A;;;1; 1 ; 160.682.465 ; 249.263.284 ; 409.945.749 
285;MEDAN;C002881326;ROBINA ELECTRONIC;TRADITIONAL;A;;;1; 1 ; 233.746.338 ; 89.189.849 ; 322.936.187 
286;JAKARTA;C002881435;MELODI ELECTRONIC;TRADITIONAL;A;;;1; 1 ; 137.091.277 ; 173.507.920 ; 310.599.197 
287;MEDAN;C002881522;SINAR JAYA ELECTRONICS SIANTAR;TRADITIONAL;B1;;;1; 1 ; 204.201.066 ; 251.337.828 ; 455.538.894 
288;MEDAN;C002881580;SMARTCO SUPER STORE;TRADITIONAL;A;1;1;; 2 ; 426.161.822 ; 286.829.973 ; 712.991.795 
289;JAKARTA;C002881604;WIJAYA ELECTRONIC;TRADITIONAL;A;;;1; 1 ; 681.446.892 ; 165.806.465 ; 847.253.357 
290;JAKARTA;C002881622;ALFA ELEKTRONIK - DEPOK;TRADITIONAL;A;;;1; 1 ; 147.264.066 ; 221.849.029 ; 369.113.095 
291;PALEMBANG;C002881679;IRAMA JAYA - PALEMBANG B JANGGUT;TRADITIONAL;A;;;1; 1 ; 153.364.229 ; 96.161.338 ; 249.525.567 
292;MEDAN;C002881725;MITRA ELECTRONIC MEDAN MOH JAM;TRADITIONAL;A;;;1; 1 ; 110.136.659 ; 251.695.356 ; 361.832.015 
293;JAKARTA;C002881771;PRIMA ELECTRONIC-JAKARTA BEKASI BARAT;TRADITIONAL;A;;;1; 1 ; 239.500.948 ; 202.963.673 ; 442.464.621 
294;PALEMBANG;C002881817;MR ELEKTRONIK;TRADITIONAL;B1;;;1; 1 ; 105.754.063 ; 61.685.663 ; 167.439.726 
295;JAKARTA;C002881897;INDOJAYA - JAKARTA;TRADITIONAL;A;;;1; 1 ; 149.453.999 ; 111.177.651 ; 260.631.650 
296;JAKARTA;C002881941;JAYA ABADI-BEKASI;TRADITIONAL;A;;;1; 1 ; 245.917.118 ; 278.070.096 ; 523.987.214 
297;PEKANBARU;C002882004;SRI BUNGA ELEKTRONIK;TRADITIONAL;A;;;1; 1 ; 243.319.526 ; 198.020.901 ; 441.340.427 
298;PEKANBARU;C002882005;FAJAR HARAPAN - BATU SANGKAR;TRADITIONAL;C1;;;1; 1 ; 103.737.099 ; 84.401.757 ; 188.138.856 
299;MEDAN;C002882031;CENTRAL BATAM RAYA BOTANIA;TRADITIONAL;A;1;1;; 2 ; 207.400.529 ; 347.768.506 ; 555.169.035 
300;MEDAN;C002882046;BOTANIA ELECTRONIC PLAZA BOTANIA;TRADITIONAL;A;;;1; 1 ; 139.000.556 ; 157.846.040 ; 296.846.596 
301;JAKARTA;C002882055;PANCA ANEKA ELECTRONIC;TRADITIONAL;A;;;1; 1 ; 100.518.609 ; 31.590.285 ; 132.108.894 
302;JAKARTA KAM;C002882212;BEST DENKI AEON MALL BSD CITY;MODERN;B1;1;1;; 2 ; 248.773.956 ; 67.531.029 ; 316.304.985 
303;JAKARTA;C002882313;ROMA;TRADITIONAL;A;;;1; 1 ; 175.100.562 ; 116.164.658 ; 291.265.220 
304;JAKARTA KAM;C002882358;COURT MEGA BEKASI HYPERMALL;MODERN;B1;;;1; 1 ; 64.761.312 ; 27.972.104 ; 92.733.416 
305;MEDAN;C002882393;MUHSIN RAYA;TRADITIONAL;A;;;1; 1 ; 165.918.789 ; 184.672.428 ; 350.591.217 
306;PALEMBANG;C002882413;CITRA ELECTRONIC - SOEKARNO HATTA BANGKA;TRADITIONAL;A;;;1; 1 ; 221.414.703 ; 277.748.729 ; 499.163.432 
307;SAMARINDA;C002882429;NUANSA BONTANG;TRADITIONAL;B1;1;1;; 2 ; 174.954.957 ; 224.926.240 ; 399.881.197 
308;PEKANBARU;C002882503;UNION JAYA ELECTRONIK;TRADITIONAL;A;;;1; 1 ; 157.191.619 ; 96.100.382 ; 253.292.001 
309;MEDAN;C002882554;WINJAYA;TRADITIONAL;A;;;1; 1 ; 72.360.392 ; 89.204.701 ; 161.565.093 
310;SURABAYA;C002882735;SAMI JAYA DRIYOREJO;TRADITIONAL;A;;;1; 1 ; 90.682.331 ; 163.328.102 ; 254.010.433 
311;JAKARTA KAM;C002894188;ELECTRONIC CITY PAMULANG;MODERN;B1;;;1; 1 ; 64.563.524 ; 75.050.862 ; 139.614.386 
312;JAKARTA;C002912431;TERANG MAKMUR BANDAR LAMPUNG;TRADITIONAL;A;;;1; 1 ; 153.727.769 ; 144.514.291 ; 298.242.060 
313;MANADO;C002912434;CENTRO GROSIR (IND) PALU;TRADITIONAL;D;;;1; 1 ; 59.299.301 ; 33.289.433 ; 92.588.734 
314;PALEMBANG;C002912435;SUARA ASLI JAMBI;TRADITIONAL;A;;;1; 1 ; 131.554.968 ; 182.522.432 ; 314.077.400 
315;JAKARTA KAM;C003000599;GIANT SERANG 2;MODERN;B1;;;1; 1 ; 54.122.896 ; 47.399.468 ; 101.522.364 
316;JAKARTA KAM;C003001223;BEST DENKI KEMANG VILLAGE;MODERN;A;;;1; 1 ; 46.045.584 ; 25.368.242 ; 71.413.826 
317;MEDAN;C003081582;EXPO ELEKTRONIK BATU 9;TRADITIONAL;A;1;1;; 2 ; 127.364.001 ; 262.306.600 ; 389.670.601 
318;MEDAN;C003081585;PLAZA ELECTRONIC BATAM;TRADITIONAL;A;;;1; 1 ; 141.835.806 ; 124.892.365 ; 266.728.171 
319;JAKARTA KAM;C003083922;ELECTRONIC CITY BINTARO;MODERN;B1;3;3;; 6 ; 702.772.124 ; 395.622.719 ; 1.098.394.843 
320;JAKARTA KAM;C003083923;ELECTRONIC CITY CINERE;MODERN;B1;;;1; 1 ; 203.300.332 ; 28.694.942 ; 231.995.274 
321;SURABAYA;C003094479;MERDEKA JAYA ELEKTRONIK;TRADITIONAL;B1;1;1;; 2 ; 276.155.620 ; 263.700.686 ; 539.856.306 
322;PEKANBARU;C003101744;HONGKONG EXPO;TRADITIONAL;A;;;1; 1 ; 129.273.415 ; 144.841.288 ; 274.114.703 
323;PALEMBANG;C003180624;RATU IRAMA BUNGO;TRADITIONAL;B1;;;1; 1 ; 36.609.189 ; 114.057.222 ; 150.666.411 
324;SURABAYA;C003220682;SAMI JAYA ELEKTRONIK;TRADITIONAL;A;2;2;; 4 ; 734.739.727 ; 403.598.732 ; 1.138.338.459 
325;SURABAYA;C003412287;SUMBER LISTRIK PUTRA;TRADITIONAL;A;1;1;; 2 ; 526.283.053 ; 436.306.973 ; 962.590.026 
326;JAKARTA KAM;C003412408;ELECTRONIC CITY CILEGON SUPERMALL;MODERN;B1;;;1; 1 ; 117.618.207 ; 17.184.707 ; 134.802.914 
327;MAKASSAR;C003430729;MAXI MITRA LESTARI;TRADITIONAL;A;2;2;; 4 ; 556.138.446 ; 500.537.634 ; 1.056.676.080 
328;SEMARANG;C003431132;BRANDSHOP ATLANTA SEMARANG;TRADITIONAL;A;1;1;; 2 ; 258.428.146 ; 299.802.172 ; 558.230.318 
329;SURABAYA;C003440735;UFO MADIUN NEW;TRADITIONAL;B1;1;1;; 2 ; 282.992.059 ; 220.234.657 ; 503.226.716 
330;MEDAN;C003480700;SP ELEKTRONIK;TRADITIONAL;A;;;1; 1 ; 99.682.167 ; 111.392.557 ; 211.074.724 
331;BANDUNG;C003531005;ANUGRAH LESTARI;TRADITIONAL;A;;;1; 1 ; 123.827.886 ; 151.883.544 ; 275.711.430 
332;BANJARMASIN;C003630631;NUANSA MARTAPURA;TRADITIONAL;B1;1;1;; 2 ; 199.000.844 ; 293.407.775 ; 492.408.619 
333;SAMARINDA;C003670630;DEPO ELEKTRONIK SAMARINDA;TRADITIONAL;B1;;;1; 1 ; 66.591.255 ; 49.474.363 ; 116.065.618 
334;SEMARANG;C003671087;ATLANTA COKROAMINOTO;TRADITIONAL;B1;3;3;; 6 ; 531.111.333 ; 758.106.097 ; 1.289.217.430 
335;JAKARTA KAM;C003673973;LOTTE MART TAMAN SURYA;MODERN;B1;;;1; 1 ; 36.136.521 ; 45.366.365 ; 81.502.886 
336;MAKASSAR;C003681079;JAYA ELEKTRONIK JAYAPURA;TRADITIONAL;A;1;1;; 2 ; 259.116.194 ; 210.262.654 ; 469.378.848 
337;SURABAYA;C003681576;THOMAS JEMBER;TRADITIONAL;B1;1;1;; 2 ; 148.673.357 ; 145.475.093 ; 294.148.450 
338;SEMARANG;C003691722;CV. GLOBAL ELEKTRONIK;TRADITIONAL;A;1;1;; 2 ; 235.000.932 ; 215.805.359 ; 450.806.291 
339;MAKASSAR;C003692112;CV. SUKAMAJU;TRADITIONAL;C1;;;1; 1 ; 27.318.308 ; 25.428.439 ; 52.746.747 
340;MANADO;C003692137;ANEKA ELEKTRONIK PALU;TRADITIONAL;A;;;1; 1 ; 124.055.094 ; 92.422.966 ; 216.478.060 
341;JAKARTA KAM;C003700611;ELECTRONIC CITY SARI PLAZA SAWANGAN;MODERN;B1;;;1; 1 ; 40.109.261 ; 27.031.510 ; 67.140.771 
342;JAKARTA KAM;C003700612;ELECTRONIC CITY TAMINI SQUARE;MODERN;B1;;;1; 1 ; 121.245.780 ; 54.363.137 ; 175.608.917 
343;JAKARTA;C003701456;MEGA MITRA 2;TRADITIONAL;A;;;1; 1 ; 428.389.474 ; 383.251.096 ; 811.640.570 
344;MEDAN;C003701511;DELI INDAH;TRADITIONAL;A;;;1; 1 ; 236.382.819 ; 218.965.803 ; 455.348.622 
345;BANDUNG;C003701535;GARUDA I;TRADITIONAL;B1;;;1; 1 ; 59.682.085 ; 103.500.042 ; 163.182.127 
346;JAKARTA;C003710745;NASIONAL;TRADITIONAL;A;;;1; 1 ; 198.919.111 ; 337.618.430 ; 536.537.541 
347;SURABAYA;C003710756;MITRA ABADI (IND);TRADITIONAL;A;1;1;; 2 ; 336.210.797 ; 325.002.541 ; 661.213.338 
348;SURABAYA;C003710767;MAKMUR ELECTRONIK 1 ( IND );TRADITIONAL;B1;;;1; 1 ; 127.500.558 ; 96.637.488 ; 224.138.046 
349;SURABAYA;C003710785;FELI JAYA (IND);TRADITIONAL;A;;;1; 1 ; 86.273.220 ; 109.894.422 ; 196.167.642 
350;MEDAN;C003710812;SAHARA ELECTRONIC;TRADITIONAL;A;;;1; 1 ; 55.863.900 ; 262.984.322 ; 318.848.222 
351;SURABAYA;C003711064;CENTRAL ELEKTRONIK TRENGGALEK;TRADITIONAL;B2;;;1; 1 ; 55.454.868 ; 38.902.110 ; 94.356.978 
352;SURABAYA;C003711084;TOKO PAHALA LAMONGAN;TRADITIONAL;A;;;1; 1 ; 135.237.035 ; 57.704.663 ; 192.941.698 
353;SURABAYA;C003711170;RAHAYU 2;TRADITIONAL;A;1;1;; 2 ; 198.891.579 ; 174.728.462 ; 373.620.041 
354;BANDUNG;C003720775;INFORMA IBCC;MODERN;B1;2;1;; 3 ; 565.920.907 ; 320.592.987 ; 886.513.894 
355;BANDUNG;C003720776;ELECTRONIC CITY PURWAKARTA;MODERN;B1;;;1; 1 ; 80.500.250 ; 60.750.945 ; 141.251.195 
356;BALI;C003720839;EDISON ELEKTRIK;TRADITIONAL;A;1;1;; 2 ; 422.091.398 ; 276.880.217 ; 698.971.615 
357;MEDAN;C003720859;ANUGRAH ELECTRONIK MOHD JAM;TRADITIONAL;A;;;1; 1 ; 26.000.126 ; 69.743.184 ; 95.743.310 
358;BALI;C003720873;CARREFOUR TRANSMART MALL BALI;MODERN;A;;;1; 1 ; 169.045.743 ; 23.584.802 ; 192.630.545 
359;MANADO;C003721951;MAHKOTA (IND);TRADITIONAL;B1;;;1; 1 ; 30.272.849 ; 40.108.492 ; 70.381.341 
